Short name,Opening name,Moves
D00,"Shaviliuk Gambit, QP",1.d4 d5 2.Nc3 e5
D00,"Dutch System, QP",1.d4 d5 2.Nc3 f5
D00,Shropshire Defense,1.d4 d5 2.Nc3 h5
D02,Queen's Gambit Reversed; Krause Variation,1.d4 d5 2.Nf3 c5
A85,"Normal Variation, Dutch",1.d4 f5 2.c4 Nf6
A40,Kotov-Robatsch Defense,1.d4 g6 2.c4 Bg7
A50,Pyrenees Gambit,1.d4 Nf6 2.c4 b5
A50,Queen's Indian Defense; Saemisch-Indian,1.d4 Nf6 2.c4 b6
A56,Hromadka Defense; Loose Gambit: A56,1.d4 Nf6 2.c4 c5
A53,Old Indian Defense; Chigorin Indian Defense; A53,1.d4 Nf6 2.c4 d6
A51,Budapest Defense; A51,1.d4 Nf6 2.c4 e5
E00,East Indian Defense; E00,1.d4 Nf6 2.c4 e6
A50,Medusa Gambit,1.d4 Nf6 2.c4 g5
D70,King's Indian Defense; West Indian Defense; D70,1.d4 Nf6 2.c4 g6
E60,King's Indian Defense; West Indian Defense; E60,1.d4 Nf6 2.c4 g6
A45,Ueberlinger Gambit,1.d4 Nf6 2.g3 e5
A45,Oshima Defense,1.d4 Nf6 2.g4 e5
B00,Snagkeouss Defense,1.e4 a5 2.d4 Nc6
B00,"Woodchuck Variation, St George",1.e4 a6 2.d4 Nc6
B00,Guatemalan Defense,1.e4 b6 2.d4 Ba6
B28,"O'Kelly Variation, Sicilian; B28",1.e4 c5 2.Nf3 a6
B27,"Polish Gambit, Sicilian",1.e4 c5 2.Nf3 b5
B27,"Katalimov Variation, Sicilian",1.e4 c5 2.Nf3 b6
B50,"Modern Variation, Sicilian; B50",1.e4 c5 2.Nf3 d6
B27,"Jalalabad Variation, Sicilian",1.e4 c5 2.Nf3 e5
B40,"French Variation, Sicilian; B40",1.e4 c5 2.Nf3 e6
B27,"Brussels Gambit, Sicilian",1.e4 c5 2.Nf3 f5
B27,"Hyperaccelerated Dragon, Sicilian",1.e4 c5 2.Nf3 g6
B27,"Buecker Variation, Sicilian",1.e4 c5 2.Nf3 h6
B12,"De Bruycker Defense, Caro",1.e4 c6 2.d4 Na6
B10,"Masi Variation, Caro-Kann",1.e4 c6 2.d4 Nf6
B07,Pirc Defense,1.e4 d6 2.d4 Nf6
C23,"Khan Gambit, Bishop",1.e4 e5 2.Bc4 d5
C23,"King's Gambit Reversed, Bishop",1.e4 e5 2.Bc4 f5
C23,Calabrese Counter-Gambit,1.e4 e5 2.Bc4 f5
C20,Walkerling,1.e4 e5 2.f3 Nf6
C30,"Classical Defense, KGD",1.e4 e5 2.f4 Bc5
C30,"Queen's Knight Defense, KGD",1.e4 e5 2.f4 Nc6
C30,"Petrov's Defense, KGD",1.e4 e5 2.f4 Nf6
C30,"Norwalde (Norwalder) Variation, KGD",1.e4 e5 2.f4 Qf6
C40,Jalalabad Defense,1.e4 e5 2.Nf3 c5
C40,Gunderam Gambit,1.e4 e5 2.Nf3 c6
C40,Queen's Pawn Counter-Gambit; Elephant Gambit,1.e4 e5 2.Nf3 d5
C41,Philidor Defense; C41,1.e4 e5 2.Nf3 d6
C40,Latvian; Greco Counter-Gambit,1.e4 e5 2.Nf3 f5
C40,Damiano Defense,1.e4 e5 2.Nf3 f6
C01,"Mediterranean Defense, French",1.e4 e6 2.d4 Nf6
B00,Borg Gambit,1.e4 g5 2.d4 Bg7
B06,Norwegian Defense,1.e4 g6 2.d4 Nf6
B00,Picklepuss Defense,1.e4 h5 2.d4 Nf6
B00,"Scandanavian Variation, Nimzovich Defense",1.e4 Nc6 2.d4 d5
B00,"Mikenas Variation, Nimzovich Defense",1.e4 Nc6 2.d4 d6
B00,"Kennedy Variation, Nimzovich",1.e4 Nc6 2.d4 e5
B00,"French Connection, Nimzovich Defense",1.e4 Nc6 2.d4 e6
B00,"Neo-Mongoloid Defense, Nimzovich",1.e4 Nc6 2.d4 f6
B00,"Pirc Connection, Nimzovich Defense",1.e4 Nc6 2.d4 g6
A09,Benoni Reversed; Wing Blumenfeld,1.Nf3 d5 2.c4 d4
A08,A08,1.Nf3 d5 2.g3 c5
A10,"Loehn Gambit, English",1.c4 d5 2.cxd5 e6
A16,"Golombek Defense, English; Anti English",1.c4 Nf6 2.Nc3 d5
A21,"Kramnik-Shirov Variation, English",1.c4 e5 2.Nc3 Bb4
A22,"Two Knights Variation, English; A22",1.c4 e5 2.Nc3 Nf6
A25,"Reversed Closed Sicilian, English; A25",1.c4 e5 2.Nc3 Nc6
A35,"Two Knights Variation, Symmetrical English; A35",1.c4 c5 2.Nc3 Nc6
A40,Thuring Gambit; Hartlaub-Charlick Gambit,1.d4 e5 2.dxe5 d6
A40,Soller; Purchas Gambit,1.d4 e5 2.dxe5 f6
A40,"Keres Defense, Indian; Kangaroo Defense",1.d4 e6 2.c4 Bb4+
A40,Montevideo Defense,1.d4 Nc6 2.d5 Nb8
A41,Wade Defense,1.d4 d6 2.Nf3 Bg4
A43,"Zilbermints Gambit; Nakamura Gambit, Benoni",1.d4 c5 2.b4 cxb4
A43,"Cormorant Gambit, Benoni",1.d4 c5 2.dxc5 b6
A45,Reversed Chigorin Defense,1.d4 Nf6 2.Nc3 c5
A45,Maddigan Gambit,1.d4 Nf6 2.Nc3 e5
A45,Lazard Gambit; Maddigan Gambit,1.d4 Nf6 2.Nd2 e5
A46,Polish Defense,1.d4 Nf6 2.Nf3 b5
A46,Spielmann-Indian,1.d4 Nf6 2.Nf3 c5
A46,Czech-Indian,1.d4 Nf6 2.Nf3 c6
A47,"Capablanca Variation, Indian Game; A47",1.d4 Nf6 2.Nf3 b6
A48,Pseudo-King's Indian Variation; A48,1.d4 Nf6 2.Nf3 g6
A50,Van Geet; Kevitz; Trajkovic; Mexican,1.d4 Nf6 2.c4 Nc6
A82,"Staunton Gambit Accepted, Dutch",1.d4 f5 2.e4 fxe4
B00,"Williams Variation, Nimzovich",1.e4 Nc6 2.Nf3 d6
B00,Franco-Nimzovich Variation,1.e4 Nc6 2.Nf3 e6
B00,"Colorado Defense, Nimzovich; Lean Variation",1.e4 Nc6 2.Nf3 f5
B01,"Boehnke Gambit, Center Counter",1.e4 d5 2.exd5 e5
B02,Mokele Mbembe; Knight's Tour,1.e4 Nf6 2.e5 Ne4
B02,"Retreat; Brooklyn Variation, Alekhine",1.e4 Nf6 2.e5 Ng8
B02,"Scandanavian Variation, Alekhine",1.e4 Nf6 2.Nc3 d5
B20,Sicilian Center Game,1.e4 c5 2.d4 cxd4
B23,Traditional Closed Sicilian,1.e4 c5 2.Nc3 Nc6
B27,"Althouse; Stiletto Variation, Sicilian",1.e4 c5 2.Nf3 Qa5
B27,"Accelerated Paulsen, Sicilian",1.e4 c5 2.Nf3 Qc7
B29,"Nimzovich; Rubinstein Var, Sicilian; B29",1.e4 c5 2.Nf3 Nf6
B30,Old Sicilian,1.e4 c5 2.Nf3 Nc6
C20,Kiddie Countergambit,1.e4 e5 2.Qh5 Nf6
C21,Center Game Accepted,1.e4 e5 2.d4 exd4
C23,"Classical Variation, Bishop; Boi Variation",1.e4 e5 2.Bc4 Bc5
C24,"Berlin Defense, Bishop; C24",1.e4 e5 2.Bc4 Nf6
C25,"Anderssen Defense, Vienna",1.e4 e5 2.Nc3 Bc5
C26,"Falkbeer Variation, Vienna; C26",1.e4 e5 2.Nc3 Nf6
C33,King's Gambit Accepted; C33,1.e4 e5 2.f4 exf4
C40,Glatz Gambit; Busch-Gass Gambit,1.e4 e5 2.Nf3 Bc5
C40,Levenstein; Queen's Defense; Brazilian; Gunderam,1.e4 e5 2.Nf3 Qe7
C40,McConnell Defense,1.e4 e5 2.Nf3 Qf6
C42,Petroff Defense; Russian Defense; C42,1.e4 e5 2.Nf3 Nf6
C44,C44,1.e4 e5 2.Nf3 Nc6
D00,"Welling Variation, Queen Pawn Game",1.d4 d5 2.Bg5 Bg4
D00,"Alburt Defense, QP",1.d4 d5 2.Nc3 Bf5
D00,Anti-Veresov,1.d4 d5 2.Nc3 Bg4
D02,"Anti-Torre, QP",1.d4 d5 2.Nf3 Bg4
D02,"Chigorin Variation, QP",1.d4 d5 2.Nf3 Nc6
D02,"Symmetrical Variation, QP",1.d4 d5 2.Nf3 Nf6
D20,Queen's Gambit Accepted; D20,1.d4 d5 2.c4 dxc4
,Unknown,1.Nf3 d6 2.e4 Bg4
,Unknown,1.Nf3 Nf6 2.g3 b5
,Unknown,1.Nf3 Nf6 2.g3 g6
,Unknown,1.e4 Nf6 2.e5 Nd5
,Unknown,1.e4 e5 2.Nc3 Nc6
A17,"Hegehog System, Anglo-Indian English; A17",1.c4 Nf6 2.Nc3 e6
A35,"Two Knights Variation, Symmetrical English; A35",1.c4 c5 2.Nc3 Nc6
A10,"Loehn Gambit, English",1.c4 d5 2.cxd5 e6
A21,"Kramnik-Shirov Variation, English",1.c4 e5 2.Nc3 Bb4
A25,"Reversed Closed Sicilian, English; A25",1.c4 e5 2.Nc3 Nc6
A22,"Two Knights Variation, English; A22",1.c4 e5 2.Nc3 Nf6
A16,"Golombek Defense, English; Anti English",1.c4 Nf6 2.Nc3 d5
A17,"Hegehog System, Anglo-Indian English; A17",1.c4 Nf6 2.Nc3 e6
A43,"Zilbermints Gambit; Nakamura Gambit, Benoni",1.d4 c5 2.b4 cxb4
A43,"Cormorant Gambit, Benoni",1.d4 c5 2.dxc5 b6
D00,"Welling Variation, Queen Pawn Game",1.d4 d5 2.Bg5 Bg4
D20,Queen's Gambit Accepted; D20,1.d4 d5 2.c4 dxc4
D00,"Alburt Defense, QP",1.d4 d5 2.Nc3 Bf5
D00,Anti-Veresov,1.d4 d5 2.Nc3 Bg4
D02,"Anti-Torre, QP",1.d4 d5 2.Nf3 Bg4
D02,"Chigorin Variation, QP",1.d4 d5 2.Nf3 Nc6
D02,"Symmetrical Variation, QP",1.d4 d5 2.Nf3 Nf6
A41,Wade Defense,1.d4 d6 2.Nf3 Bg4
A40,Thuring Gambit; Hartlaub-Charlick Gambit,1.d4 e5 2.dxe5 d6
A40,Soller; Purchas Gambit,1.d4 e5 2.dxe5 f6
A40,"Keres Defense, Indian; Kangaroo Defense",1.d4 e6 2.c4 Bb4+
A82,"Staunton Gambit Accepted, Dutch",1.d4 f5 2.e4 fxe4
A40,Montevideo Defense,1.d4 Nc6 2.d5 Nb8
A50,Van Geet; Kevitz; Trajkovic; Mexican,1.d4 Nf6 2.c4 Nc6
D70,Iago Defense,1.d4 Nf6 2.c4 Nc6
A45,Reversed Chigorin Defense,1.d4 Nf6 2.Nc3 c5
A45,Maddigan Gambit,1.d4 Nf6 2.Nc3 e5
A45,Lazard Gambit; Maddigan Gambit,1.d4 Nf6 2.Nd2 e5
A46,Polish Defense,1.d4 Nf6 2.Nf3 b5
A47,"Capablanca Variation, Indian Game; A47",1.d4 Nf6 2.Nf3 b6
A46,Spielmann-Indian,1.d4 Nf6 2.Nf3 c5
A46,Czech-Indian,1.d4 Nf6 2.Nf3 c6
A48,Pseudo-King's Indian Variation; A48,1.d4 Nf6 2.Nf3 g6
B20,Sicilian Center Game,1.e4 c5 2.d4 cxd4
B23,Traditional Closed Sicilian,1.e4 c5 2.Nc3 Nc6
B30,Old Sicilian,1.e4 c5 2.Nf3 Nc6
B29,"Nimzovich; Rubinstein Var, Sicilian; B29",1.e4 c5 2.Nf3 Nf6
B27,"Mongoose Variation, Sicilian",1.e4 c5 2.Nf3 Qa5
B27,"Althouse; Stiletto Variation, Sicilian",1.e4 c5 2.Nf3 Qa5
B27,"Accelerated Paulsen, Sicilian",1.e4 c5 2.Nf3 Qc7
B27,"Quinteros Variation, Sicilian",1.e4 c5 2.Nf3 Qc7
B01,"Boehnke Gambit, Center Counter",1.e4 d5 2.exd5 e5
C23,"Classical Variation, Bishop; Boi Variation",1.e4 e5 2.Bc4 Bc5
C24,"Berlin Defense, Bishop; C24",1.e4 e5 2.Bc4 Nf6
C21,Center Game Accepted,1.e4 e5 2.d4 exd4
C33,King's Gambit Accepted; C33,1.e4 e5 2.f4 exf4
C25,"Anderssen Defense, Vienna",1.e4 e5 2.Nc3 Bc5
C26,"Falkbeer Variation, Vienna; C26",1.e4 e5 2.Nc3 Nf6
C40,Glatz Gambit; Busch-Gass Gambit,1.e4 e5 2.Nf3 Bc5
C44,C44,1.e4 e5 2.Nf3 Nc6
C42,Petroff Defense; Russian Defense; C42,1.e4 e5 2.Nf3 Nf6
C40,Levenstein; Queen's Defense; Brazilian; Gunderam,1.e4 e5 2.Nf3 Qe7
C40,McConnell Defense,1.e4 e5 2.Nf3 Qf6
C40,Greco Defense,1.e4 e5 2.Nf3 Qf6
C20,Kiddie Countergambit,1.e4 e5 2.Qh5 Nf6
B00,"Williams Variation, Nimzovich",1.e4 Nc6 2.Nf3 d6
B00,Franco-Nimzovich Variation,1.e4 Nc6 2.Nf3 e6
B00,"Colorado Defense, Nimzovich; Lean Variation",1.e4 Nc6 2.Nf3 f5
B02,Mokele Mbembe; Knight's Tour,1.e4 Nf6 2.e5 Ne4
B02,"Retreat; Brooklyn Variation, Alekhine",1.e4 Nf6 2.e5 Ng8
B02,"Scandanavian Variation, Alekhine",1.e4 Nf6 2.Nc3 d5
A00,Grob Gambit,1.g4 d5 2.Bg2 Bxg4
A09,Reti Gambit Accepted,1.Nf3 d5 2.c4 dxc4
A10,"Schulz Gambit, English",1.c4 d5 2.cxd5 Nf6
A40,Englund; Behting Gambit,1.d4 e5 2.dxe5 Nc6
A40,"Mosquito Gambit, Englund",1.d4 e5 2.dxe5 Qh4
A43,"Schlenker Defense, Benoni",1.d4 c5 2.dxc5 Na6
A45,Gibbins-Wiedehagen Gambit Accepted,1.d4 Nf6 2.g4 Nxg4
A46,Dory Defense,1.d4 Nf6 2.Nf3 Ne4
B00,"Breyer Defense, Nimzovich",1.e4 Nc6 2.Nc3 Nf6
B01,"Marshall Gambit, Scandanavian G; Modern Variation, CC",1.e4 d5 2.exd5 Nf6
A10,"Schulz Gambit, English",1.c4 d5 2.cxd5 Nf6
A43,"Schlenker Defense, Benoni",1.d4 c5 2.dxc5 Na6
A40,Englund; Behting Gambit,1.d4 e5 2.dxe5 Nc6
A40,"Mosquito Gambit, Englund",1.d4 e5 2.dxe5 Qh4
A45,Gibbins-Wiedehagen Gambit Accepted,1.d4 Nf6 2.g4 Nxg4
A46,Dory Defense,1.d4 Nf6 2.Nf3 Ne4
B01,"Marshall Gambit, Scandanavian G; Modern Variation, CC",1.e4 d5 2.exd5 Nf6
B00,"Breyer Defense, Nimzovich",1.e4 Nc6 2.Nc3 Nf6
A00,Grob Gambit,1.g4 d5 2.Bg2 Bxg4
A09,Reti Gambit Accepted,1.Nf3 d5 2.c4 dxc4
B01,"Mieses-Kotroc Variation, Center Counter",1.e4 d5 2.exd5 Qxd5
B01,"Mieses-Kotroc Variation, Center Counter",1.e4 d5 2.exd5 Qxd5
A43,Franco-Benoni; Franco-Sicilian,1.d4 c5 2.d5 e6 3.e4
A43,Benoni-Staunton Gambit,1.d4 c5 2.d5 f5 3.e4
A84,Bellon Gambit,1.d4 e6 2.c4 f5 3.e4
A84,"Bellon Gambit, Dutch",1.d4 f5 2.c4 e6 3.e4
B00,"Three Pawn Attack, St George",1.e4 a6 2.d4 e6 3.c4
B12,"Diemer-Duhm Gambit, Caro",1.e4 c6 2.d4 d5 3.c4
B12,"Advance Variation, Caro",1.e4 c6 2.d4 d5 3.e5
B12,"Fantasy; Lilienfisch Variation, Caro",1.e4 c6 2.d4 d5 3.f3
C00,"Diemer-Duhm Gambit, French",1.e4 e6 2.d4 d5 3.c4
